card_back_color,level_color,wc_wound,skills_text,description,edges,weapons,parry,toughness,level,name,type,type_image,agility_dices,vigor_dices,st_dices,smarts_dices,spirit_dices,count,speed
#ffe599,#f1c232,TRUE,"Athletik d6, Kämpfen d6, Heimlichkeit d6, Wahrnehmung d6, Reparieren d8","Ein älterer Mann mit grimmigem Blick, der jede Leitung kennt und niemandem traut.","+2 auf Heimlichkeit bei schwacher Beleuchtung,Schraubenschlüssel (ST+1)",Schraubenschlüssel (ST+1),5,"5,6",5,Misstrauischer Hausmeister,,Mensch,d6,d6,d6,d6,d6,3,6
#9fc5e8,#3d85c6,FALSE,"Überreden d6, Einschüchtern d6","Will nicht, dass jemand ihr Kind stört. Freundlich – bis jemand zu nahe kommt.","1× pro Szene mit Worten Shaken,",,4,"4,5",3,Überfürsorgliche Mutter,,Mensch,d4,d6,d4,d6,d8,1,6
#9fc5e8,#3d85c6,FALSE,"Heimlichkeit d6, Allgemeinwissen d6","Verwirrt, zittert leicht. Weiß mehr als er zugibt.","+2 auf Flucht oder Verstecken,",,4,"4,5",3,Nervöser Büroangestellte,,Mensch,d6,d4,d4,d6,d6,2,6
#b6d7a8,#6aa84f,FALSE,"Wissen (Geschichte) d6, Wahrnehmung d6","Scheinbar harmlos, murmelt aber seltsame Details über das Haus.","Hinweise als Erinnerungsfragment,",,3,"4,5",2,Verwirrter Großvater,,Mensch,d4,d4,d4,d6,d8,2,4
#9fc5e8,#3d85c6,FALSE,"Heimlichkeit d8, Kämpfen d6, Wahrnehmung d6","Hört Musik, interessiert sich für nichts – außer Geheimtüren.","+2 Heimlichkeit in engen Räumen,",,5,"5,6",3,Rebellischer Teenager,,Mensch,d8,d6,d4,d6,d6,3,6
#ffe599,#f1c232,FALSE,"Kämpfen d6, Einschüchtern d6","Ein halb defekter, dampf- betriebener Wächter, der wild zwischen Befehlen wechselt.","Immun gegen geistige Effekte, bei 1 auf Angriff - zufällige Aktion,  Rauchabgabe (1×/Szene: Sicht behindern),Dampfhammer (ST+2)",Dampfhammer (ST+2),5,"8,11",4,Verschmorte Automaton,,Konstrukt,d4,d10,d10,d4,d4,1,5
#f9cb9c,#e69138,TRUE,"Okkultismus d10, Wissen (Arkanes) d8, Wahrnehmung d6","Schrulliger Bibliothekar, der uralte Schriften rezitiert und dabei versehentlich magische Effekte auslöst.","1× pro Szene zufälliger Zauber,Zauberbuch, Tinte, leuchtende Brille","Zauberbuch, Tinte, leuchtende Brille",4,"4,5",6,Verstaubter Archivmagier,,Mensch,d10,d6,d4,d10,d10,2,5
#9fc5e8,#3d85c6,FALSE,"Technik d6, Reparieren d6, Wissen (Biologie) d6, Überreden d6","Junger Forscher, eingesperrt zwischen Maschinen und Experimenten – wirkt panisch, aber hilfsbereit.","Kennt 1 relevantes Geheimnis,Laborjournal, Werkzeug","Laborjournal, Werkzeug",4,"4,5",3,Verzweifelter Assistent,,Mensch,d8,d8,d8,d6,d6,2,6
#ffe599,#f1c232,FALSE,"Kämpfen d6, Einschüchtern d6","Fehlgeschlagenes Alchemie- Experiment. Schmerzverzerrt, aber nicht böse – solange man nicht stört.","Erträgt Schmerz ignorierend, -1 auf alle geistigen Würfe, +2 auf Zähigkeit,Säureatem (2W6, RW Konstitution, 1×/Szene),Krallen (ST)",Krallen (ST),5,"7,9",4,Fleischgewordener Unfall,,Mutant,d8,d8,d10,d6,d6,1,6
#9fc5e8,#3d85c6,FALSE,"Okkultismus d8, Wahrnehmung d8, Einschüchtern d6","Ein verzaubertes, intelligentes Buch, das seine Regale verteidigt und seltsame Rätsel stellt.","stellt Rätsel, hilfreicher Zauber / Hinweis,Telekinese, Schallstoß (1×/Szene, Stärke-Wurf oder Rückstoß),",,5,"6,7",3,Schwebendes Buch,,Magisches Objekt,d6,d6,d4,d8,d8,2,6
