card_back_color,level_color,wc_wound,skills_text,description,edges,weapons,parry,toughness,armor,level,name,type,type_image,agility_dices,vigor_dices,st_dices,smarts_dices,spirit_dices,count,speed,consumption
#ffd966,#ffd966,TRUE,"Athletik d6, Kämpfen d6, Heimlichkeit d6, Wahrnehmung d6, Reparieren d8","Ein älterer Mann mit grimmigem Blick, der jede Leitung kennt und niemandem traut.","Halbdunkelheit: +2 auf Heiml.,Schraubenschlüssel (ST+1)",Ritualstab St+W4,5,5,+1,4,Hausmeister,misstrauisch,Mensch,d6,d6,d6,d6,d6,4,6,
#93c47d,#93c47d,FALSE,"Überreden d6, Einschüchtern d6","Will nicht, dass jemand ihr Kind stört. Freundlich – bis jemand zu nahe kommt.","1× mit Worten Shaken,",Zweihandaxt St+W10 PB2,4,4,+1,1,Mutter,überfürsorglich,Mensch,d4,d6,d4,d6,d8,2,6,
#93c47d,#93c47d,FALSE,"Heimlichkeit d6, Allgemeinwissen d6","Verwirrt, zittert leicht. Weiß mehr als er zugibt.","+2 auf Flucht / Verstecken,","Klauen St+W6, Biss St+W8",4,4,+1,1,Büroangestellte,nervös,Mensch,d6,d4,d4,d6,d6,2,6,
#93c47d,#93c47d,FALSE,"Wissen (Geschichte) d6, Wahrnehmung d6","Scheinbar harmlos, murmelt aber seltsame Details über das Haus.","Erinnerungsfragment (Hinweise),","Dolch St+W4, Dolch St+W4",3,4,+1,1,Großvater,verwirrt,Mensch,d4,d4,d4,d6,d8,2,4,
#93c47d,#93c47d,FALSE,"Heimlichkeit d8, Kämpfen d6, Wahrnehmung d6","Hört Musik, interessiert sich für nichts – außer Geheimtüren.","+2 Heiml. enger Raum,",Faust St+W10,5,5,+1,2,Teenager,rebellisch,Mensch,d8,d6,d4,d6,d6,3,6,
#ffd966,#ffd966,FALSE,"Kämpfen d6, Einschüchtern d6","Ein halb defekter, dampf- betriebener Wächter, der wild zwischen Befehlen wechselt.","Immun gegen Verstand, Patzer: zufällige Aktion, Rauchabgabe,Dampfhammer (ST+2)","Revolver 2W6, Revolver 2W6",5,8,+3,4,Automaton,verschmort,Konstrukt,d4,d10,d10,d4,d4,1,5,
#6d9eeb,#6d9eeb,TRUE,"Okkultismus d10, Wissen (Arkanes) d8, Wahrnehmung d6",Rezitiert uralte Schriften und löst dabei versehentlich magische Effekte aus,"1× pro Szene zufälliger Zauber,Zauberbuch, Tinte, leuchtende Brille",Feenstab St+W4/2,4,4,+1,3,Archivmagier,verstaubt,Mensch,d10,d6,d4,d10,d10,2,5,
#93c47d,#93c47d,FALSE,"Technik d6, Reparieren d6, Wissen (Biologie) d6, Überreden d6","Junger Forscher, eingesperrt zwischen Maschinen / Experimenten – wirkt panisch, aber hilfsbereit.","Kennt ein Geheimnis,Laborjournal, Werkzeug","Säbel St+W6, Pistole 2W6",4,4,+1,1,Assistent,verzweifelt,Magier,d8,d8,d8,d6,d6,2,6,
#ffd966,#ffd966,FALSE,"Kämpfen d6, Einschüchtern d6","Fehlgeschlagenes Alchemie- Experiment. Schmerzverzerrt, aber nicht böse – solange man nicht stört.","Erträgt Schmerz ignorierend, -1 auf alle geistigen Würfe, +2 auf Zähigkeit,1xSäureatem (2W6),Krallen (ST)",Zweihandstreitkolben St+W10,5,7,+2,4,Unfall,fleischgeworden,Mutant,d8,d8,d10,d6,d6,1,6,
#93c47d,#93c47d,FALSE,"Okkultismus d8, Wahrnehmung d8, Einschüchtern d6","Ein verzaubertes, intelligentes Buch, das seine Regale verteidigt und seltsame Rätsel stellt.","stellt Rätsel, => hilfreicher Zauber / Hinweis,Telekinese, Schallstoß,","Sturmrevolver 2W6+1, Kampfmesser St+W4",5,6,+1,2,Buch,schwebend,Magisches Objekt,d6,d6,d4,d8,d8,2,6,
